Date,Description,Amount,Type
2024-01-01,Salary Credit,150000,Credit
2024-01-02,House Rent,-30000,Debit
2024-01-03,Electricity Bill,-2500,Debit
2024-01-05,SIP Investment HDFC Mutual Fund,-10000,Debit
2024-01-07,Swiggy Food Order,-450,Debit
2024-01-10,Amazon Shopping,-5600,Debit
2024-01-12,Car EMI Payment,-25000,Debit
2024-01-15,Health Insurance Premium,-2500,Debit
2024-01-18,Uber Ride,-350,Debit
2024-01-20,Internet Bill Airtel,-1200,Debit
2024-01-22,Grocery BigBasket,-3500,Debit
2024-01-25,Fuel Petrol Pump,-2800,Debit
2024-01-28,Restaurant Bill,-1200,Debit
2024-02-01,Salary Credit,150000,Credit
2024-02-02,House Rent,-30000,Debit
2024-02-03,Electricity Bill,-2300,Debit
2024-02-05,SIP Investment HDFC Mutual Fund,-10000,Debit
2024-02-08,Flipkart Shopping,-8900,Debit
2024-02-10,Mobile Recharge,-599,Debit
2024-02-12,Car EMI Payment,-25000,Debit
2024-02-15,LIC Premium,-5000,Debit
2024-02-18,Medical Expenses Apollo,-3500,Debit
2024-02-20,DTH Recharge,-500,Debit
2024-02-22,Zomato Food Order,-680,Debit
2024-02-25,Metro Card Recharge,-500,Debit
2024-02-28,Gym Membership,-2500,Debit
2024-03-01,Salary Credit,155000,Credit
2024-03-01,Performance Bonus,25000,Credit
2024-03-02,House Rent,-30000,Debit
2024-03-03,Electricity Bill,-2700,Debit
2024-03-05,SIP Investment HDFC Mutual Fund,-10000,Debit
2024-03-05,PPF Investment,-12500,Debit
2024-03-08,School Fees,-15000,Debit
2024-03-10,Credit Card Bill Payment,-12000,Debit
2024-03-12,Car EMI Payment,-25000,Debit
2024-03-15,Term Insurance Premium,-1800,Debit
2024-03-18,Shopping Mall,-4500,Debit
2024-03-20,Water Bill,-450,Debit
2024-03-22,Movie Tickets,-600,Debit
2024-03-25,Parking Charges,-200,Debit
2024-03-28,Online Course Udemy,-1500,Debit
2024-04-01,Salary Credit,150000,Credit
2024-04-02,House Rent,-30000,Debit
2024-04-03,Electricity Bill,-3200,Debit
2024-04-05,SIP Investment HDFC Mutual Fund,-10000,Debit
2024-04-08,Amazon Prime Subscription,-1499,Debit
2024-04-10,Gas Cylinder,-950,Debit
2024-04-12,Car EMI Payment,-25000,Debit
2024-04-15,Health Checkup,-5000,Debit
2024-04-18,Myntra Shopping,-3200,Debit
2024-04-20,Netflix Subscription,-649,Debit
2024-04-22,Grocery DMart,-4200,Debit
2024-04-25,Toll Charges,-280,Debit
2024-04-28,Book Purchase,-850,Debit
2024-05-01,Salary Credit,160000,Credit
2024-05-02,House Rent,-30000,Debit
2024-05-03,Electricity Bill,-3500,Debit
2024-05-05,SIP Investment HDFC Mutual Fund,-10000,Debit
2024-05-05,ELSS Investment,-15000,Debit
2024-05-08,AC Maintenance,-2500,Debit
2024-05-10,Ola Rides,-1200,Debit
2024-05-12,Car EMI Payment,-25000,Debit
2024-05-15,Donation PM Relief Fund,-5000,Debit
2024-05-18,Laptop Purchase,-65000,Debit
2024-05-20,Broadband Bill,-1500,Debit
2024-05-22,Restaurant,-2800,Debit
2024-05-25,Car Service,-8500,Debit
2024-05-28,Clothes Shopping,-6500,Debit
2024-06-01,Salary Credit,150000,Credit
2024-06-02,House Rent,-30000,Debit
2024-06-03,Electricity Bill,-4200,Debit
2024-06-05,SIP Investment HDFC Mutual Fund,-10000,Debit
2024-06-08,Flight Tickets,-12000,Debit
2024-06-10,Hotel Booking,-8000,Debit
2024-06-12,Car EMI Payment,-25000,Debit
2024-06-15,Travel Insurance,-1200,Debit
2024-06-18,Vacation Expenses,-15000,Debit
2024-06-20,Mobile Bill,-899,Debit
2024-06-22,Souvenir Shopping,-3500,Debit
2024-06-25,Uber Airport,-1500,Debit
2024-06-28,Medicine,-1200,Debit
